Name,Type,Pos.,Inj. Vol.,Program,Method,Status,Inj. Date/Time,Weight,Dil. Fact.,ISTD A,Sample ID,Replicate ID,Comment,,,,,,,Cl Area,SO4 Area
SW50,Standard,GA1,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 16:40,1,1,1,,RA1,,,,,,,4057dc21-5182-11ee-bcc4-b8ca3a9f8401,95.74,9.652
SW25,Standard,GA2,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 16:54,1,1,1,,RA1,,,,,,,53590584-5184-11ee-bcc4-b8ca3a9f8401,45.973,4.638
SW20,Standard,GA3,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 17:09,1,1,1,,RA1,,,,,,,6433926f-5186-11ee-bcc4-b8ca3a9f8401,36.749,3.712
SW15,Standard,GA4,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 17:24,1,1,1,,RA1,,,,,,,74e296ea-5188-11ee-bcc4-b8ca3a9f8401,28.22,2.856
SW10,Standard,GA5,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 17:39,1,1,1,,RA1,,,,,,,85afdd40-518a-11ee-bcc4-b8ca3a9f8401,18.734,1.89
SW5,Standard,GA6,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 17:53,1,1,1,,RA1,,,,,,,969d562c-518c-11ee-bcc4-b8ca3a9f8401,9.247,0.917
SW2.5,Standard,GA7,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 18:08,1,1,1,,RA1,,,,,,,a72c5ca3-518e-11ee-bcc4-b8ca3a9f8401,4.465,0.425
SW0,Standard,GA8,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 18:23,2,1,1,,RA1,,,,,,,b7c263d7-5190-11ee-bcc4-b8ca3a9f8401,n.a.,n.a.
E4B1S1,Unknown,GB1,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 18:38,1,1,1,,RA1,,,,,,,c85cb42e-5192-11ee-bcc4-b8ca3a9f8401,9.522,0.083
E4B2S1,Unknown,GB2,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 18:53,1,1,1,,RA1,,,,,,,d96ca93e-5194-11ee-bcc4-b8ca3a9f8401,9.152,0.079
E4B1S2,Unknown,GB3,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 19:07,1,1,1,,RA1,,,,,,,e9d25410-5196-11ee-bcc4-b8ca3a9f8401,10.114,0.088
E4B2S2,Unknown,GB4,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 19:22,1,1,1,,RA1,,,,,,,fa44c43a-5198-11ee-bcc4-b8ca3a9f8401,10.359,0.098
E4B1S3,Unknown,GB5,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 19:37,1,1,1,,RA1,,,,,,,0ad6fe52-519b-11ee-bcc4-b8ca3a9f8401,10.828,0.096
E4B2S3,Unknown,GB6,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 19:52,1,1,1,,RA1,,,,,,,1b420055-519d-11ee-bcc4-b8ca3a9f8401,11.063,0.096
E4B1S4,Unknown,GB7,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 20:06,1,1,1,,RA1,,,,,,,2bd91b3c-519f-11ee-bcc4-b8ca3a9f8401,12.227,0.117
E4B2S4,Unknown,GB8,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 20:21,1,1,1,,RA1,,,,,,,3c4e5469-51a1-11ee-bcc4-b8ca3a9f8401,12.59,0.112
E4B1S5,Unknown,GC1,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 20:36,1,1,1,,RA1,,,,,,,4cb6227a-51a3-11ee-bcc4-b8ca3a9f8401,14.679,0.137
E4B2S5,Unknown,GC2,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 20:51,1,1,1,,RA1,,,,,,,5d4f6075-51a5-11ee-bcc4-b8ca3a9f8401,14.961,0.136
E4B1S6,Unknown,GC3,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 21:06,1,1,1,,RA1,,,,,,,6da61724-51a7-11ee-bcc4-b8ca3a9f8401,17.797,0.166
E4B2S6,Unknown,GC4,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 21:20,1,1,1,,RA1,,,,,,,7e0b8464-51a9-11ee-bcc4-b8ca3a9f8401,18.247,0.168
E4B1S7,Unknown,GC5,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 21:35,1,1,1,,RA1,,,,,,,8e909ea8-51ab-11ee-bcc4-b8ca3a9f8401,23.493,0.223
E4B2S7,Unknown,GC6,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 21:50,1,1,1,,RA1,,,,,,,9ef75b7a-51ad-11ee-bcc4-b8ca3a9f8401,26.416,0.25
E4B1S8,Unknown,GC7,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 22:05,1,1,1,,RA1,,,,,,,af81cca0-51af-11ee-bcc4-b8ca3a9f8401,25.256,0.239
E4B2S8,Unknown,GC8,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 22:19,1,1,1,,RA1,,,,,,,bfda4b89-51b1-11ee-bcc4-b8ca3a9f8401,26.687,0.252
E4B1S9,Unknown,GD1,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 22:34,1,1,1,,RA1,,,,,,,d013b8c7-51b3-11ee-bcc4-b8ca3a9f8401,36.949,0.359
E4B2S9,Unknown,GD2,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 22:49,1,1,1,,RA1,,,,,,,e099bd7f-51b5-11ee-bcc4-b8ca3a9f8401,37.197,0.368
E4B1S10,Unknown,GD3,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 23:04,1,1,1,,RA1,,,,,,,f0c593f1-51b7-11ee-bcc4-b8ca3a9f8401,40.937,0.398
E4B2S10,Unknown,GD4,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 23:19,1,1,1,,RA1,,,,,,,01103223-51ba-11ee-bcc4-b8ca3a9f8401,44.354,0.438
E4B1S11,Unknown,GD5,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 23:33,1,1,1,,RA1,,,,,,,11592db5-51bc-11ee-bcc4-b8ca3a9f8401,57.034,0.57
E4B2S11,Unknown,GD6,10,AS18_31mM,AnionTest_2_method,Finished,9/12/23 23:48,1,1,1,,RA1,,,,,,,219ef4ba-51be-11ee-bcc4-b8ca3a9f8401,67.926,0.685
E4B1S12,Unknown,GD7,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 00:03:23,1,1,1,,RA1,,,,,,,3222fd98-51c0-11ee-bcc4-b8ca3a9f8401,72.321,0.722
E4B2S12,Unknown,GD8,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 00:18:09,1,1,1,,RA1,,,,,,,429d0f88-51c2-11ee-bcc4-b8ca3a9f8401,82.219,0.844
E4B1S13,Unknown,GE1,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 00:32:56,1,1,1,,RA1,,,,,,,52e9b4fe-51c4-11ee-bcc4-b8ca3a9f8401,93.594,0.545
E4B2S13,Unknown,GE2,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 00:47:42,1,1,1,,RA1,,,,,,,63507173-51c6-11ee-bcc4-b8ca3a9f8401,101.996,0.616
E4B1S14,Unknown,GE3,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 01:02:28,1,1,1,,RA1,,,,,,,73c4e8d8-51c8-11ee-bcc4-b8ca3a9f8401,95.143,0.289
E4B2S14,Unknown,GE4,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 01:17:14,1,1,1,,RA1,,,,,,,8403e300-51ca-11ee-bcc4-b8ca3a9f8401,117.854,0.096
SW50,Standard,GA1,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 01:32:01,1,1,1,,RA1,,,,,,,94249370-51cc-11ee-bcc4-b8ca3a9f8401,92.494,9.476
SW25,Standard,GA2,10,AS18_31mM,AnionTest_2_method,Finished,13/09/2023 01:46:48,1,1,1,,RA1,,,,,,,a4a2d072-51ce-11ee-bcc4-b8ca3a9f8401,45.573,4.636
