Name,Cl,Na,Mg,SO4,Ca,K
MQ,0,0,0,0,0,0
SW50,0.027293,0.023453,0.002641,0.001412,0.000514,0.0005105
SW25,0.0136465,0.0117265,0.0013205,0.000706,0.000257,0.00025525
SW20,0.0109172,0.0093812,0.0010564,0.0005648,0.0002056,0.0002042
SW15,0.0081879,0.0070359,0.0007923,0.0004236,0.0001542,0.00015315
SW10,0.0054586,0.0046906,0.0005282,0.0002824,0.0001028,0.0001021
SW5,0.0027293,0.0023453,0.0002641,0.0001412,0.0000514,0.00005105
SW2.5,0.00136465,0.00117265,0.00013205,0.0000706,0.0000257,0.000025525
SW0,0,0,0,0,0,0
CaMg-10,0,0,0.01,0,0.01,0
CaMg-5,0,0,0.005,0,0.005,0
CaMg-2.5,0,0,0.0025,0,0.0025,0
CaMg-1,0,0,0.001,0,0.001,0
CaMg-0.5,0,0,0.0005,0,0.0005,0
CaMg-0.25,0,0,0.00025,0,0.00025,0
CaMg-0.1,0,0,0.0001,0,0.0001,0
CaMg-0.05,0,0,0.00005,0,0.00005,0
CaMg-0.025,0,0,0.000025,0,0.000025,0
CaMg-0.01,0,0,0.00001,0,0.00001,0
CaMg-0,0,0,0,0,0,0
